Ranking,Country,Continent,Estimate,Year,country2
31,Australia,Oceania,"49,800",2021,Australia          39
23,Austria,Europe,"54,100",2021,Austria            26
28,Belgium,Europe,"51,700",2021,Belgium            52
34,Canada,Americas,"47,900",2021,Canada             39
80,Chile,Americas,"25,400",2021,Chile              39
88,Costa Rica,Americas,"21,200",2021,Costa Rica         39
49,Czech Republic,Europe,"40,700",2020,Czech Republic     26
19,Denmark,Europe,"58,000",2021,Denmark            39
54,Estonia,Europe,"38,700",2021,Estonia            52
33,Finland,Europe,"48,800",2021,Finland            39
36,France,Europe,"45,000",2021,France             52
64,Hungary,Europe,"33,600",2021,Hungary            39
24,Iceland,Europe,"53,600",2020,Iceland            39
5,Ireland,Europe,"102,500",2021,Ireland            39
44,Israel,Asia,"42,100",2021,Israel             65
45,Italy,Europe,"41,900",2021,Italy              26
48,Japan,Asia,"40,800",2021,Japan              13
41,South Korea,Asia,"44,200",2021,Korea              65
96,Mexico,Americas,"19,100",2021,Mexico             39
20,Netherlands,Europe,"56,600",2021,Netherlands        65
43,New Zealand,Oceania,"42,900",2021,New Zealand        26
13,Norway,Europe,"65,700",2021,Norway             26
59,Poland,Europe,"34,900",2021,Poland             39
63,Portugal,Europe,"33,700",2021,Portugal           39
67,Slovakia,Europe,"31,900",2021,Slovak Republic    26
50,Slovenia,Europe,"40,000",2021,Slovenia           39
55,Spain,Europe,"37,900",2021,Spain              39
69,Turkey,Asia,"31,500",2021,TÃ¼rkiye            39
37,United Kingdom,Europe,"45,000",2021,United Kingdom     52
15,United States,Americas,"63,700",2021,United States      13